operation,strategy,blockSize,fileSizeInBytes,durationInMs
READ,BlockByBlockWithBufferedStream,1948,104857600,31
READ,BlockByBlockWithBufferedStream,2048,104857600,25
READ,BlockByBlockWithBufferedStream,2148,104857600,30
READ,BlockByBlockWithBufferedStream,2460,104857600,30
READ,BlockByBlockWithBufferedStream,2560,104857600,29
READ,BlockByBlockWithBufferedStream,2660,104857600,30
READ,BlockByBlockWithBufferedStream,2972,104857600,30
READ,BlockByBlockWithBufferedStream,3072,104857600,28
READ,BlockByBlockWithBufferedStream,3172,104857600,28
READ,BlockByBlockWithBufferedStream,3484,104857600,28
READ,BlockByBlockWithBufferedStream,3584,104857600,29
READ,BlockByBlockWithBufferedStream,3684,104857600,30
READ,BlockByBlockWithBufferedStream,3996,104857600,30
READ,BlockByBlockWithBufferedStream,4096,104857600,25
READ,BlockByBlockWithBufferedStream,4196,104857600,28
READ,BlockByBlockWithBufferedStream,4508,104857600,29
READ,BlockByBlockWithBufferedStream,4608,104857600,28
READ,BlockByBlockWithBufferedStream,4708,104857600,29
READ,BlockByBlockWithBufferedStream,5020,104857600,29
READ,BlockByBlockWithBufferedStream,5120,104857600,29
READ,BlockByBlockWithBufferedStream,5220,104857600,30
READ,BlockByBlockWithBufferedStream,5532,104857600,29
READ,BlockByBlockWithBufferedStream,5632,104857600,29
READ,BlockByBlockWithBufferedStream,5732,104857600,30
READ,BlockByBlockWithBufferedStream,6044,104857600,30
READ,BlockByBlockWithBufferedStream,6144,104857600,29
READ,BlockByBlockWithBufferedStream,6244,104857600,30
READ,BlockByBlockWithBufferedStream,6556,104857600,30
READ,BlockByBlockWithBufferedStream,6656,104857600,29
READ,BlockByBlockWithBufferedStream,6756,104857600,29
READ,BlockByBlockWithBufferedStream,7068,104857600,31
READ,BlockByBlockWithBufferedStream,7168,104857600,29
READ,BlockByBlockWithBufferedStream,7268,104857600,30
READ,BlockByBlockWithBufferedStream,7580,104857600,30
READ,BlockByBlockWithBufferedStream,7680,104857600,30
READ,BlockByBlockWithBufferedStream,7780,104857600,30
READ,BlockByBlockWithBufferedStream,8092,104857600,30
READ,BlockByBlockWithBufferedStream,8192,104857600,21
READ,BlockByBlockWithBufferedStream,8292,104857600,25
READ,ByteByByteWithoutBufferedStream,0,104857600,31785
READ,BlockByBlockWithoutBufferedStream,1,104857600,35255
READ,BlockByBlockWithoutBufferedStream,2,104857600,17737
READ,BlockByBlockWithoutBufferedStream,3,104857600,11925
READ,BlockByBlockWithoutBufferedStream,4,104857600,8967
READ,BlockByBlockWithoutBufferedStream,5,104857600,7085
READ,BlockByBlockWithoutBufferedStream,10,104857600,3499
READ,BlockByBlockWithoutBufferedStream,20,104857600,1840
READ,BlockByBlockWithoutBufferedStream,50,104857600,744
READ,BlockByBlockWithoutBufferedStream,100,104857600,380
READ,BlockByBlockWithoutBufferedStream,200,104857600,199
READ,BlockByBlockWithoutBufferedStream,256,104857600,153
READ,BlockByBlockWithoutBufferedStream,500,104857600,87
READ,BlockByBlockWithoutBufferedStream,512,104857600,85
READ,BlockByBlockWithoutBufferedStream,924,104857600,58
READ,BlockByBlockWithoutBufferedStream,1024,104857600,52
READ,BlockByBlockWithoutBufferedStream,1124,104857600,50
READ,BlockByBlockWithoutBufferedStream,1436,104857600,46
READ,BlockByBlockWithoutBufferedStream,1536,104857600,40
READ,BlockByBlockWithoutBufferedStream,1636,104857600,42
READ,BlockByBlockWithoutBufferedStream,1948,104857600,41
READ,BlockByBlockWithoutBufferedStream,2048,104857600,37
READ,BlockByBlockWithoutBufferedStream,2148,104857600,39
READ,BlockByBlockWithoutBufferedStream,2460,104857600,35
READ,BlockByBlockWithoutBufferedStream,2560,104857600,33
READ,BlockByBlockWithoutBufferedStream,2660,104857600,35
READ,BlockByBlockWithoutBufferedStream,2972,104857600,32
READ,BlockByBlockWithoutBufferedStream,3072,104857600,30
READ,BlockByBlockWithoutBufferedStream,3172,104857600,29
READ,BlockByBlockWithoutBufferedStream,3484,104857600,29
READ,BlockByBlockWithoutBufferedStream,3584,104857600,28
READ,BlockByBlockWithoutBufferedStream,3684,104857600,30
READ,BlockByBlockWithoutBufferedStream,3996,104857600,28
READ,BlockByBlockWithoutBufferedStream,4096,104857600,24
READ,BlockByBlockWithoutBufferedStream,4196,104857600,28
READ,BlockByBlockWithoutBufferedStream,4508,104857600,27
READ,BlockByBlockWithoutBufferedStream,4608,104857600,27
READ,BlockByBlockWithoutBufferedStream,4708,104857600,25
READ,BlockByBlockWithoutBufferedStream,5020,104857600,28
READ,BlockByBlockWithoutBufferedStream,5120,104857600,24
READ,BlockByBlockWithoutBufferedStream,5220,104857600,26
READ,BlockByBlockWithoutBufferedStream,5532,104857600,26
READ,BlockByBlockWithoutBufferedStream,5632,104857600,25
READ,BlockByBlockWithoutBufferedStream,5732,104857600,26
READ,BlockByBlockWithoutBufferedStream,6044,104857600,24
READ,BlockByBlockWithoutBufferedStream,6144,104857600,24
READ,BlockByBlockWithoutBufferedStream,6244,104857600,25
READ,BlockByBlockWithoutBufferedStream,6556,104857600,24
READ,BlockByBlockWithoutBufferedStream,6656,104857600,24
READ,BlockByBlockWithoutBufferedStream,6756,104857600,24
READ,BlockByBlockWithoutBufferedStream,7068,104857600,24
READ,BlockByBlockWithoutBufferedStream,7168,104857600,21
READ,BlockByBlockWithoutBufferedStream,7268,104857600,22
READ,BlockByBlockWithoutBufferedStream,7580,104857600,24
READ,BlockByBlockWithoutBufferedStream,7680,104857600,24
READ,BlockByBlockWithoutBufferedStream,7780,104857600,22
READ,BlockByBlockWithoutBufferedStream,8092,104857600,22
READ,BlockByBlockWithoutBufferedStream,8192,104857600,21
READ,BlockByBlockWithoutBufferedStream,8292,104857600,24
